Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Daily Tribune,@tribunephl,2025-03-12T08:48:48.000Z,True,"#Halalan2025: The Philippines conducts synchronized congressional and local elections, excluding regional and barangay levels, every three years on the second Monday of May. This system has been in place since 1992.

Read more at: tribune.net.ph/2025/03/12/hal
…#DailyTribune",0,0,0,106,"['#Halalan2025', '#DailyTribune']",[],[],https://pbs.twimg.com/profile_images/1894256178848206848/BMx_QdUY_bigger.jpg,https://x.com/tribunephl/status/1899744373971263890,tweet_id:1899744373971263890
Paul | ᜉᜓᜎ͓,@pmdrglj,2025-02-11T03:13:55.000Z,False,"Senators 5 Bam Aquino 45 Heidi Mendoza 51 Kiko Pangilinan

Partylist 6 ML Partylist
or 51 Akbayan Partylist#Halalan2025",15,434,2.2K,65K,['#Halalan2025'],[],"['\\u26ab\\ufe0f', '\\u26ab\\ufe0f', '\\u26ab\\ufe0f', '\\u26ab\\ufe0f', '\\u26ab\\ufe0f']",https://pbs.twimg.com/profile_images/1906209075278553088/s5D4XXc4_bigger.jpg,https://x.com/pmdrglj/status/1889150847051067652,tweet_id:1889150847051067652
Hara Lingayan #Unbowed,@HLingayan,2025-02-17T10:20:43.000Z,True,"IPARAMDAM NATIN ang NGALIT ng 32M sa May 2025 election.

VOTE straight PDP-Laban SENATE slate!10 - Bondoc, Jimmy
22 - Dela Rosa, Bato
28 - Go, Bong
30 - Hinlo, Jayvee
34 - Lambino, Raul
38 - Marcoleta, Rodante
53 - Quiboloy, Apollo
56 - Rodriguez, Vic
58 - Salvador, Ipe",0,82,318,9.4K,[],[],['\\u270a'],https://pbs.twimg.com/profile_images/1969005061603991552/0Xc57Jb5_bigger.jpg,https://x.com/HLingayan/status/1891432583692484973,tweet_id:1891432583692484973
KPEx Official,@OfficialKpex,2025-05-06T13:47:59.000Z,True,"𝐀𝐁𝐒-𝐂𝐁𝐍 𝐍𝐄𝐖𝐒 𝐓𝐎 𝐃𝐄𝐋𝐈𝐕𝐄𝐑 𝐌𝐀𝐑𝐀𝐓𝐇𝐎𝐍 𝐑𝐎𝐔𝐍𝐃-𝐓𝐇𝐄-𝐂𝐋𝐎𝐂𝐊 𝐂𝐎𝐕𝐄𝐑𝐀𝐆𝐄 𝐅𝐎𝐑 𝐇𝐀𝐋𝐀𝐋𝐀𝐍 𝟐𝟎𝟐𝟓

ABS-CBN News is set to mount a comprehensive special coverage with real-time updates and in-depth analysis of this year’s midterm election",0,54,245,6K,[],[],[],https://pbs.twimg.com/profile_images/1922756044440338433/qV9Sr4um_bigger.jpg,https://x.com/OfficialKpex/status/1919750994822627823,tweet_id:1919750994822627823
ABS-CBN News,@ABSCBNNews,2025-01-11T16:00:00.000Z,True,"Simula na ng election period para sa #Halalan2025 sa Mayo 12.
 
Kasabay nito, ipatutupad na rin ang gun ban.",23,390,1.3K,98K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1414904727674920961/aRgHKXj5_bigger.jpg,https://x.com/ABSCBNNews/status/1878109617051328530,tweet_id:1878109617051328530
Dalagang Pilipina,@fierceLady08,2025-03-02T09:10:14.000Z,False,Ang listahan ng ating mga iboboto sa May 2025 elections. Never to the Marcoses and his relatives ever again. No more chance given to them sa kanilang pambubudol sa bayan. #votestraighpdplaban#DutertePaRin ,88,62,245,20K,"['#votestraighpdplaban', '#DutertePaRin']",[],"['\\U0001f44a\\U0001f3fb', '\\U0001f1f5\\U0001f1ed', '\\U0001f49a', '\\U0001f44a\\U0001f3fb']",https://pbs.twimg.com/profile_images/1970244803918286848/oPZUu0al_bigger.jpg,https://x.com/fierceLady08/status/1896125886279352404,tweet_id:1896125886279352404
ABS-CBN News,@ABSCBNNews,2024-08-26T05:06:57.000Z,True,"The Makabayan bloc announces its senatorial slate for the 2025 midterm elections at Liwasang Bonifacio during the observance of National Heroes Day on Monday, August 26, 2024. #Halalan2025 

From left to right: 
Mody Floranda
Jocelyn Andamo
Teddy Casiño
Arlene Brosas
Ronnel",58,575,1.8K,160K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1414904727674920961/aRgHKXj5_bigger.jpg,https://x.com/ABSCBNNews/status/1827935745828647177,tweet_id:1827935745828647177
ABS-CBN News,@ABSCBNNews,2025-04-23T01:05:00.000Z,True,"LOOK: Comelec's precinct finder for the #Halalan2025 this May 12 is already up.   

You can find your polling place at precinctfinder.comelec.gov.ph. | via ",29,1K,2.3K,363K,['#Halalan2025'],['@manahan_job'],[],https://pbs.twimg.com/profile_images/1414904727674920961/aRgHKXj5_bigger.jpg,https://x.com/ABSCBNNews/status/1914847943204733278,tweet_id:1914847943204733278
The Philippine Star,@PhilippineStar,2024-10-05T05:30:00.000Z,True,"Kabataan Partylist filed its certificate of candidacy before the Commission on Elections on Saturday, October 5, fielding 10 nominees for the 2025 midterm elections.",10,49,302,11K,[],[],[],https://pbs.twimg.com/profile_images/1610869121268469761/0JG_WM7k_bigger.jpg,https://x.com/PhilippineStar/status/1842437059383832828,tweet_id:1842437059383832828
GMA Integrated News,@gmanews,2025-05-06T04:09:35.000Z,True,"Malacanang has declared May 12, 2025, the day of the midterm elections, as a national holiday. #Eleksyon2025 | via Ivan Mayrina/GMA Integrated News",5,86,284,31K,['#Eleksyon2025'],[],[],https://pbs.twimg.com/profile_images/1700474798563110912/l146nN3-_bigger.jpg,https://x.com/gmanews/status/1919605438393319553,tweet_id:1919605438393319553
ABS-CBN News,@ABSCBNNews,2025-05-06T03:50:46.000Z,True,"JUST IN: President Ferdinand Marcos Jr. to declare May 12, 2025 as a national holiday for #Halalan2025, according to Malacañang. | via Read: abs-cbn.com/news/nation/20
…",20,234,941,110K,['#Halalan2025'],['@pia_gutierrez'],[],https://pbs.twimg.com/profile_images/1414904727674920961/aRgHKXj5_bigger.jpg,https://x.com/ABSCBNNews/status/1919600702646898919,tweet_id:1919600702646898919
ABS-CBN News,@ABSCBNNews,2025-05-06T04:56:15.000Z,True,"READ: Proclamation 878, declaring Monday, May 12, 2025 a special non-working holiday throughout the country for #Halalan2025. | via Full story: abs-cbn.com/news/nation/20
…",1,140,274,30K,['#Halalan2025'],['@pia_gutierrez'],[],https://pbs.twimg.com/profile_images/1414904727674920961/aRgHKXj5_bigger.jpg,https://x.com/ABSCBNNews/status/1919617181438136802,tweet_id:1919617181438136802
